;Scopy version,dda5ec6
;Exported on,Friday January 14/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
358,-0.001242,-0.469076,-0.507604
359,-0.001241,-0.469076,-0.507604
360,-0.00124,-0.469076,-0.509122
361,-0.001239,-0.469076,-0.506086
362,-0.001238,-0.470594,-0.507604
363,-0.001237,-0.470594,-0.507604
364,-0.001236,-0.470594,-0.507604
365,-0.001235,-0.470594,-0.507604
366,-0.001234,-0.470594,-0.507604
367,-0.001233,-0.472112,-0.507604
368,-0.001232,-0.472112,-0.509122
369,-0.001231,-0.472112,-0.510641
370,-0.00123,-0.472112,-0.507604
371,-0.001229,-0.472112,-0.507604
372,-0.001228,-0.472112,-0.507604
373,-0.001227,-0.47363,-0.507604
374,-0.001226,-0.47363,-0.507604
375,-0.001225,-0.47363,-0.507604
376,-0.001224,-0.47363,-0.509122
377,-0.001223,-0.47363,-0.509122
378,-0.001222,-0.475148,-0.507604
379,-0.001221,-0.475148,-0.507604
380,-0.00122,-0.475148,-0.507604
381,-0.001219,-0.475148,-0.507604
382,-0.001218,-0.476666,-0.507604
383,-0.001217,-0.476666,-0.507604
384,-0.001216,-0.476666,-0.507604
385,-0.001215,-0.476666,-0.507604
386,-0.001214,-0.476666,-0.509122
387,-0.001213,-0.476666,-0.507604
388,-0.001212,-0.476666,-0.507604
389,-0.001211,-0.478184,-0.507604
390,-0.00121,-0.478184,-0.507604
391,-0.001209,-0.478184,-0.507604
392,-0.001208,-0.478184,-0.507604
393,-0.001207,-0.478184,-0.507604
394,-0.001206,-0.478184,-0.509122
395,-0.001205,-0.478184,-0.507604
396,-0.001204,-0.48122,-0.507604
397,-0.001203,-0.48122,-0.507604
398,-0.001202,-0.48122,-0.507604
399,-0.001201,-0.48122,-0.509122
400,-0.0012,-0.478184,-0.509122
401,-0.001199,-0.48122,-0.506086
402,-0.001198,-0.482738,-0.509122
403,-0.001197,-0.482738,-0.507604
404,-0.001196,-0.482738,-0.507604
405,-0.001195,-0.482738,-0.507604
406,-0.001194,-0.482738,-0.507604
407,-0.001193,-0.482738,-0.507604
408,-0.001192,-0.482738,-0.507604
409,-0.001191,-0.484256,-0.507604
410,-0.00119,-0.484256,-0.507604
411,-0.001189,-0.484256,-0.507604
412,-0.001188,-0.484256,-0.507604
413,-0.001187,-0.484256,-0.507604
414,-0.001186,-0.484256,-0.509122
415,-0.001185,-0.484256,-0.509122
416,-0.001184,-0.484256,-0.510641
417,-0.001183,-0.484256,-0.509122
418,-0.001182,-0.485774,-0.506086
419,-0.001181,-0.485774,-0.509122
420,-0.00118,-0.485774,-0.507604
421,-0.001179,-0.487292,-0.506086
422,-0.001178,-0.485774,-0.509122
423,-0.001177,-0.485774,-0.507604
424,-0.001176,-0.487292,-0.507604
425,-0.001175,-0.487292,-0.507604
426,-0.001174,-0.487292,-0.507604
427,-0.001173,-0.487292,-0.507604
428,-0.001172,-0.487292,-0.507604
429,-0.001171,-0.487292,-0.509122
430,-0.00117,-0.48881,-0.507604
431,-0.001169,-0.487292,-0.507604
432,-0.001168,-0.487292,-0.507604
433,-0.001167,-0.48881,-0.507604
434,-0.001166,-0.48881,-0.507604
435,-0.001165,-0.48881,-0.507604
436,-0.001164,-0.48881,-0.509122
437,-0.001163,-0.48881,-0.509122
438,-0.001162,-0.48881,-0.507604
439,-0.001161,-0.48881,-0.507604
440,-0.00116,-0.48881,-0.507604
441,-0.001159,-0.490328,-0.507604
442,-0.001158,-0.490328,-0.509122
