;Scopy version,dda5ec6
;Exported on,Monday January 17/01/2022
;Device,M2K
;Nr of samples,3200
;Sample rate,1e+06
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
411,-0.001189,-0.454473,-0.515195
412,-0.001188,-0.454473,-0.515195
413,-0.001187,-0.454473,-0.516713
414,-0.001186,-0.454473,-0.516713
415,-0.001185,-0.454473,-0.515195
416,-0.001184,-0.454473,-0.515195
417,-0.001183,-0.454473,-0.516713
418,-0.001182,-0.454473,-0.515195
419,-0.001181,-0.454473,-0.515195
420,-0.00118,-0.454473,-0.515195
421,-0.001179,-0.454473,-0.515195
422,-0.001178,-0.454473,-0.515195
423,-0.001177,-0.454473,-0.515195
424,-0.001176,-0.454473,-0.515195
425,-0.001175,-0.454473,-0.515195
426,-0.001174,-0.454473,-0.515195
427,-0.001173,-0.454473,-0.515195
428,-0.001172,-0.454473,-0.515195
429,-0.001171,-0.454473,-0.515195
430,-0.00117,-0.454473,-0.515195
431,-0.001169,-0.452955,-0.515195
432,-0.001168,-0.454473,-0.515195
433,-0.001167,-0.454473,-0.515195
434,-0.001166,-0.454473,-0.515195
435,-0.001165,-0.454473,-0.515195
436,-0.001164,-0.454473,-0.515195
437,-0.001163,-0.454473,-0.515195
438,-0.001162,-0.454473,-0.515195
439,-0.001161,-0.454473,-0.515195
440,-0.00116,-0.454473,-0.515195
441,-0.001159,-0.454473,-0.515195
442,-0.001158,-0.454473,-0.515195
443,-0.001157,-0.454473,-0.515195
444,-0.001156,-0.454473,-0.515195
445,-0.001155,-0.454473,-0.515195
446,-0.001154,-0.454473,-0.515195
447,-0.001153,-0.454473,-0.515195
448,-0.001152,-0.454473,-0.515195
449,-0.001151,-0.454473,-0.515195
450,-0.00115,-0.454473,-0.515195
451,-0.001149,-0.454473,-0.515195
452,-0.001148,-0.454473,-0.515195
453,-0.001147,-0.454473,-0.515195
454,-0.001146,-0.454473,-0.515195
455,-0.001145,-0.454473,-0.515195
456,-0.001144,-0.454473,-0.515195
457,-0.001143,-0.454473,-0.515195
458,-0.001142,-0.454473,-0.515195
459,-0.001141,-0.454473,-0.515195
460,-0.00114,-0.454473,-0.515195
461,-0.001139,-0.454473,-0.515195
462,-0.001138,-0.454473,-0.515195
463,-0.001137,-0.454473,-0.515195
464,-0.001136,-0.454473,-0.515195
465,-0.001135,-0.454473,-0.516713
466,-0.001134,-0.454473,-0.515195
467,-0.001133,-0.454473,-0.515195
468,-0.001132,-0.454473,-0.515195
469,-0.001131,-0.454473,-0.515195
470,-0.00113,-0.454473,-0.515195
471,-0.001129,-0.454473,-0.515195
472,-0.001128,-0.454473,-0.516713
473,-0.001127,-0.454473,-0.516713
474,-0.001126,-0.454473,-0.515195
475,-0.001125,-0.454473,-0.515195
476,-0.001124,-0.454473,-0.515195
477,-0.001123,-0.454473,-0.515195
478,-0.001122,-0.454473,-0.515195
479,-0.001121,-0.454473,-0.516713
480,-0.00112,-0.454473,-0.516713
481,-0.001119,-0.454473,-0.515195
482,-0.001118,-0.454473,-0.515195
483,-0.001117,-0.454473,-0.515195
484,-0.001116,-0.454473,-0.515195
485,-0.001115,-0.454473,-0.515195
486,-0.001114,-0.452955,-0.515195
487,-0.001113,-0.455991,-0.515195
488,-0.001112,-0.454473,-0.515195
489,-0.001111,-0.454473,-0.515195
490,-0.00111,-0.454473,-0.515195
491,-0.001109,-0.454473,-0.515195
492,-0.001108,-0.454473,-0.515195
493,-0.001107,-0.454473,-0.515195
494,-0.001106,-0.454473,-0.515195
495,-0.001105,-0.454473,-0.515195
496,-0.001104,-0.455991,-0.515195
497,-0.001103,-0.454473,-0.515195
498,-0.001102,-0.455991,-0.515195
