"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.460223740E-1,-1.842498779E-1,6.700134277E-2,9.643081665E0,9.645074453E0
4.483417100E-1,-1.866455078E-1,7.417297363E-2,9.631118774E0,9.633212705E0
4.506915640E-1,-1.794586182E-1,7.417297363E-2,9.635894775E0,9.637851169E0
4.530109000E-1,-1.938171387E-1,7.656860352E-2,9.643081665E0,9.645333163E0
4.553607530E-1,-1.818542480E-1,8.135986328E-2,9.635894775E0,9.637954063E0
4.576800890E-1,-1.674957275E-1,8.613586426E-2,9.640686035E0,9.642525677E0
4.599994250E-1,-1.794586182E-1,6.939697266E-2,9.659820557E0,9.661736620E0
4.623492780E-1,-1.746826172E-1,5.981445312E-2,9.659820557E0,9.661585013E0
4.646686140E-1,-1.818542480E-1,6.221008301E-2,9.640686035E0,9.642601739E0
4.670184680E-1,-1.746826172E-1,5.743408203E-2,9.643081665E0,9.644834715E0
4.693378040E-1,-1.722869873E-1,6.221008301E-2,9.650253296E0,9.651991586E0
4.716876570E-1,-1.746826172E-1,7.896423340E-2,9.650253296E0,9.652157170E0
4.740375110E-1,-1.818542480E-1,7.177734375E-2,9.640686035E0,9.642668209E0
4.763568470E-1,-1.818542480E-1,8.135986328E-2,9.635894775E0,9.637954063E0
4.787067000E-1,-1.627044678E-1,8.613586426E-2,9.628723145E0,9.630482933E0
4.810260360E-1,-1.651000977E-1,7.896423340E-2,9.635894775E0,9.637632568E0
4.833758900E-1,-1.722869873E-1,6.939697266E-2,9.635894775E0,9.637684726E0
4.856952260E-1,-1.818542480E-1,6.700134277E-2,9.652648926E0,9.654594317E0
4.880450790E-1,-1.770629883E-1,7.656860352E-2,9.645462036E0,9.647390940E0
4.903644150E-1,-1.770629883E-1,7.656860352E-2,9.635894775E0,9.637825594E0
4.927142690E-1,-1.842498779E-1,6.939697266E-2,9.640686035E0,9.642696261E0
4.950336050E-1,-1.818542480E-1,5.981445312E-2,9.650253296E0,9.652151958E0
4.973834580E-1,-1.962127686E-1,6.460571289E-2,9.633499146E0,9.635713733E0
4.997027940E-1,-1.818542480E-1,7.656860352E-2,9.635894775E0,9.637914808E0
5.020526480E-1,-1.722869873E-1,6.700134277E-2,9.647857666E0,9.649628466E0
5.043719840E-1,-1.674957275E-1,7.177734375E-2,9.643081665E0,9.644803306E0
5.067218370E-1,-1.914215088E-1,5.743408203E-2,9.638290405E0,9.640362172E0
5.090411730E-1,-1.938171387E-1,6.460571289E-2,9.638290405E0,9.640455431E0
5.113910270E-1,-1.890258789E-1,6.221008301E-2,9.631118774E0,9.633174437E0
5.137103620E-1,-1.890258789E-1,7.656860352E-2,9.638290405E0,9.640447887E0
5.160602160E-1,-1.818542480E-1,7.656860352E-2,9.621536255E0,9.623559301E0
5.183795520E-1,-1.890258789E-1,7.656860352E-2,9.635894775E0,9.638052794E0
5.207294050E-1,-1.866455078E-1,7.656860352E-2,9.628723145E0,9.630836344E0
5.230792590E-1,-1.698913574E-1,7.417297363E-2,9.633499146E0,9.635282585E0
5.253985950E-1,-1.794586182E-1,5.981445312E-2,9.631118774E0,9.632976280E0
5.277484480E-1,-1.842498779E-1,6.221008301E-2,9.640686035E0,9.642647216E0
5.300677840E-1,-1.794586182E-1,5.743408203E-2,9.647857666E0,9.649697488E0
5.324176380E-1,-1.914215088E-1,5.743408203E-2,9.635894775E0,9.637967057E0
5.347369740E-1,-1.818542480E-1,5.981445312E-2,9.643081665E0,9.644981738E0
5.370868270E-1,-1.794586182E-1,5.503845215E-2,9.650253296E0,9.652078704E0
5.394061630E-1,-1.794586182E-1,5.024719238E-2,9.650253296E0,9.652052572E0
5.417560170E-1,-1.818542480E-1,5.743408203E-2,9.621536255E0,9.623426081E0
5.440753530E-1,-1.794586182E-1,6.221008301E-2,9.626327515E0,9.628201125E0
5.464252060E-1,-1.866455078E-1,6.221008301E-2,9.647857666E0,9.649863428E0
5.487445420E-1,-1.938171387E-1,6.221008301E-2,9.638290405E0,9.640439674E0
5.510943960E-1,-1.938171387E-1,6.939697266E-2,9.640686035E0,9.642883814E0
5.534137320E-1,-1.914215088E-1,5.743408203E-2,9.621536255E0,9.623611628E0
5.557635850E-1,-1.866455078E-1,8.135986328E-2,9.623931885E0,9.626085440E0
5.580829210E-1,-1.770629883E-1,8.135986328E-2,9.650253296E0,9.652220439E0
5.604327750E-1,-1.818542480E-1,8.375549316E-2,9.631118774E0,9.633199614E0
5.627521110E-1,-1.818542480E-1,6.460571289E-2,9.633499146E0,9.635432043E0
5.651019640E-1,-1.842498779E-1,6.221008301E-2,9.635894775E0,9.637856932E0
5.674518180E-1,-1.890258789E-1,5.743408203E-2,9.631118774E0,9.633144777E0
5.697711530E-1,-1.794586182E-1,6.700134277E-2,9.650253296E0,9.652154332E0
5.721210070E-1,-1.794586182E-1,6.221008301E-2,9.643081665E0,9.644952021E0
5.744403430E-1,-1.746826172E-1,5.981445312E-2,9.643081665E0,9.644849184E0
5.767901960E-1,-1.818542480E-1,5.981445312E-2,9.650253296E0,9.652151958E0
5.791095320E-1,-1.914215088E-1,5.264282227E-2,9.655044556E0,9.657085421E0
5.814593860E-1,-1.866455078E-1,6.221008301E-2,9.631118774E0,9.633128022E0
5.837787220E-1,-1.794586182E-1,7.896423340E-2,9.640686035E0,9.642679502E0
5.861285750E-1,-1.866455078E-1,8.375549316E-2,9.640686035E0,9.642856359E0
5.884479110E-1,-1.938171387E-1,7.417297363E-2,9.638290405E0,9.640524293E0
5.907977650E-1,-1.914215088E-1,7.896423340E-2,9.628723145E0,9.630949431E0
5.931171010E-1,-1.698913574E-1,7.177734375E-2,9.611968994E0,9.613738243E0
5.954669540E-1,-1.722869873E-1,6.939697266E-2,9.655044556E0,9.656830956E0
5.977862900E-1,-1.770629883E-1,5.981445312E-2,9.652648926E0,9.654458056E0
6.001666610E-1,-1.890258789E-1,5.981445312E-2,9.623931885E0,9.625973897E0
6.024859970E-1,-1.770629883E-1,7.417297363E-2,9.614364624E0,9.616280989E0
6.048968860E-1,-1.746826172E-1,5.503845215E-2,9.640686035E0,9.642425549E0
6.071551870E-1,-1.770629883E-1,5.264282227E-2,9.650253296E0,9.652021096E0
6.095050400E-1,-1.914215088E-1,6.460571289E-2,9.619140625E0,9.621261999E0
6.118548940E-1,-1.818542480E-1,6.221008301E-2,9.619140625E0,9.621060619E0
6.141742300E-1,-1.914215088E-1,5.503845215E-2,9.635894775E0,9.637953079E0
6.165240830E-1,-1.842498779E-1,6.221008301E-2,9.628723145E0,9.630686762E0
6.188434190E-1,-1.770629883E-1,6.939697266E-2,9.611968994E0,9.613850175E0
6.211932730E-1,-1.722869873E-1,6.221008301E-2,9.626327515E0,9.628070124E0
6.235126090E-1,-1.794586182E-1,5.981445312E-2,9.640686035E0,9.642541698E0
6.258624620E-1,-1.770629883E-1,5.503845215E-2,9.645462036E0,9.647244084E0
6.281817980E-1,-1.746826172E-1,6.460571289E-2,9.628723145E0,9.630524249E0
6.305316520E-1,-1.818542480E-1,6.700134277E-2,9.631118774E0,9.633068514E0
6.328509870E-1,-1.866455078E-1,5.743408203E-2,9.657424927E0,9.659399124E0
6.352008410E-1,-1.914215088E-1,6.221008301E-2,9.626327515E0,9.628431529E0
6.375201770E-1,-1.890258789E-1,6.221008301E-2,9.600006104E0,9.602068426E0
6.398700300E-1,-1.866455078E-1,5.743408203E-2,9.631118774E0,9.633098363E0
6.421893660E-1,-1.962127686E-1,6.460571289E-2,9.638290405E0,9.640503892E0
6.445392200E-1,-1.794586182E-1,6.221008301E-2,9.616760254E0,9.618635728E0
6.468585560E-1,-1.722869873E-1,6.700134277E-2,9.607177734E0,9.608956031E0
6.492084090E-1,-1.842498779E-1,7.656860352E-2,9.633499146E0,9.635565191E0
6.515277450E-1,-1.890258789E-1,7.177734375E-2,9.628723145E0,9.630845870E0
6.538775990E-1,-1.818542480E-1,6.460571289E-2,9.604797363E0,9.606736035E0
6.562274520E-1,-1.866455078E-1,6.939697266E-2,9.616760254E0,9.618821667E0
6.585467880E-1,-1.866455078E-1,6.939697266E-2,9.635894775E0,9.637952096E0
6.608966420E-1,-1.842498779E-1,6.460571289E-2,9.631118774E0,9.633097672E0
6.632159780E-1,-1.818542480E-1,7.896423340E-2,9.621536255E0,9.623578660E0
6.655658310E-1,-1.746826172E-1,6.460571289E-2,9.621536255E0,9.623338704E0
6.678851670E-1,-1.914215088E-1,6.221008301E-2,9.621536255E0,9.623641317E0
6.702350210E-1,-1.794586182E-1,6.700134277E-2,9.616760254E0,9.618667910E0
6.725543570E-1,-1.722869873E-1,6.939697266E-2,9.607177734E0,9.608973034E0
6.749042100E-1,-1.914215088E-1,5.743408203E-2,9.645462036E0,9.647532263E0
6.772235460E-1,-1.890258789E-1,5.503845215E-2,9.664611816E0,9.666616863E0
6.795734000E-1,-1.842498779E-1,5.503845215E-2,9.628723145E0,9.630643106E0
6.818927360E-1,-1.866455078E-1,6.700134277E-2,9.628723145E0,9.630765033E0
6.842425890E-1,-1.914215088E-1,6.460571289E-2,9.650253296E0,9.652367832E0
6.865619250E-1,-1.842498779E-1,5.981445312E-2,9.659820557E0,9.661762726E0
6.889117780E-1,-1.866455078E-1,7.177734375E-2,9.633499146E0,9.635574416E0
6.912311140E-1,-1.770629883E-1,7.896423340E-2,9.619140625E0,9.621094169E0
6.935809680E-1,-2.081756592E-1,7.177734375E-2,9.633499146E0,9.636015508E0
6.959003040E-1,-1.938171387E-1,7.417297363E-2,9.647857666E0,9.650089339E0
6.982501570E-1,-1.842498779E-1,7.417297363E-2,9.643081665E0,9.645126938E0
7.005694930E-1,-1.698913574E-1,8.135986328E-2,9.652648926E0,9.654486718E0
7.029193470E-1,-1.866455078E-1,5.981445312E-2,9.664611816E0,9.666598982E0
7.052386830E-1,-1.890258789E-1,6.460571289E-2,9.650253296E0,9.652320620E0
7.075885360E-1,-1.962127686E-1,6.221008301E-2,9.626327515E0,9.628527975E0
7.099078720E-1,-1.866455078E-1,8.375549316E-2,9.635894775E0,9.638066178E0
7.122577260E-1,-1.818542480E-1,7.896423340E-2,9.645462036E0,9.647499376E0
7.145770620E-1,-1.722869873E-1,5.743408203E-2,9.652648926E0,9.654357191E0
7.169269150E-1,-1.866455078E-1,5.981445312E-2,9.640686035E0,9.642678131E0
7.192462510E-1,-1.890258789E-1,5.264282227E-2,9.667007446E0,9.668998656E0
7.215961050E-1,-1.842498779E-1,4.785156250E-2,9.647857666E0,9.649735506E0
7.239154410E-1,-1.722869873E-1,5.264282227E-2,9.578475952E0,9.580169917E0
7.262652940E-1,-1.292114258E-1,5.981445312E-2,9.379867554E0,9.380948176E0
